data,sanmenxia,huayuankou,jiahetan,longmen 
2001/8/10,15638400,8121600,11318400,15552000
2001/8/11,6739200,6739200,11318400,36028800
2001/8/12,7257600,7257600,10886400,33436800
2001/8/13,7344000,7344000,10195200,10022400
2001/8/14,6480000,6480000,11059200,8640000
2001/8/15,8121600,8121600,13651200,32227200
2001/8/16,9849600,9849600,12787200,19008000
2001/8/17,9244800,9244800,13478400,68256000
2001/8/18,8294400,8294400,14256000,27561600
2001/8/19,11059200,11059200,13996800,107136000
2001/8/20,13824000,13824000,13737600,146016000
2001/8/21,11923200,11923200,12614400,69120000
2001/8/22,10540800,10540800,12441600,33696000
2001/8/23,9849600,9849600,11232000,27475200
2001/8/24,6912000,6912000,12960000,44928000
2001/8/25,6134400,6134400,21254400,54864000
2001/8/26,13478400,13478400,15465600,66528000
2001/8/27,9936000,9936000,11664000,46569600
2001/8/28,7776000,7776000,15897600,80697600
2001/8/29,8467200,8467200,14688000,99360000
2001/8/30,8640000,8640000,13305600,88128000
2001/8/31,12009600,12009600,15379200,91584000
2001/9/1,14688000,14688000,18144000,80352000
2001/9/2,13564800,13564800,22118400,82339200
2001/9/3,13651200,13651200,20563200,84672000
2001/9/4,8294400,8294400,20995200,67651200
2001/9/5,9676800,9676800,19526400,62208000
2001/9/6,8208000,8208000,20995200,40176000
2001/9/7,10108800,10108800,26265600,82080000
2001/9/8,15379200,15379200,51148800,37584000
2001/9/9,14601600,14601600,26265600,34560000
2001/9/10,16416000,16416000,25574400,61171200
2001/9/11,14947200,14947200,25056000,53827200
2001/9/12,15379200,15379200,21427200,68342400
2001/9/13,15033600,15033600,23328000,76723200
2001/9/14,14256000,14256000,25920000,47088000
2001/9/15,18144000,18144000,23328000,59616000
2001/9/16,17798400,17798400,29376000,70848000
2001/9/17,22896000,22896000,35424000,61862400
2001/9/18,32486400,32486400,63072000,46310400
2001/9/19,57024000,57024000,56160000,58752000
2001/9/20,56160000,56160000,52704000,66873600
2001/9/21,56592000,56592000,49248000,62380800
2001/9/22,55728000,55728000,46224000,54172800
2001/9/23,52272000,52272000,63676800,65318400
2001/9/24,57888000,57888000,60912000,96768000
2001/9/25,59184000,59184000,61776000,74563200
2001/9/26,62208000,62208000,64800000,82425600
2001/9/27,66528000,66528000,60048000,60566400
2001/9/28,64800000,64800000,81648000,35251200
2001/9/29,64800000,64800000,80352000,40435200
2001/9/30,66528000,66528000,74736000,69984000
2001/10/1,72576000,72576000,82080000,62208000
2001/10/2,76896000,76896000,72576000,64627200
2001/10/3,90720000,90720000,60912000,37929600
2001/10/4,74304000,74304000,78192000,42595200
2001/10/5,68256000,68256000,69984000,59875200
2001/10/6,61776000,61776000,50112000,49680000
2001/10/7,47088000,47088000,56160000,63936000
2001/10/8,50976000,50976000,29808000,57888000
2001/10/9,48384000,48384000,71280000,56505600
2001/10/10,66528000,66528000,65232000,55036800
2001/10/11,65232000,65232000,65232000,57024000
2001/10/12,64800000,64800000,71280000,51840000
2001/10/13,62208000,62208000,70416000,49507200
2001/10/14,60480000,60480000,71280000,39571200
2001/10/15,59616000,59616000,68688000,47779200
2001/10/16,62640000,62640000,62208000,47520000
2001/10/17,63072000,63072000,73958400,39916800
2001/10/18,63504000,63504000,41472000,37152000
2001/10/19,57024000,57024000,71712000,39916800
2001/10/20,65664000,65664000,41472000,43891200
2001/10/21,52704000,52704000,38448000,21859200
2001/10/22,45792000,45792000,48384000,42163200
2001/10/23,51840000,51840000,41904000,38966400
2001/10/24,45792000,45792000,41472000,32227200
2001/10/25,43200000,43200000,49075200,38707200
2001/10/26,52704000,52704000,52012800,39744000
2001/10/27,53568000,53568000,44064000,40608000
2001/10/28,48384000,48384000,36720000,38966400
2001/10/29,36288000,36288000,39744000,41817600
2001/10/30,38880000,38880000,34128000,38275200
2001/10/31,30240000,30240000,34992000,28080000
2001/11/1,35424000,35424000,38880000,32918400
2001/11/2,36288000,36288000,31968000,46224000
2001/11/3,34128000,34128000,36288000,33696000
2001/11/4,30672000,30672000,30672000,36979200
2001/11/5,23068800,23068800,31104000,29376000
2001/11/6,25401600,25401600,31104000,26870400
2001/11/7,29376000,29376000,37152000,34560000
2001/11/8,28080000,28080000,30672000,29808000
